"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2022","995.65","1,041.70","1,054.67","995.00","24.87M","-3.38%"
"Jan 18, 2022","1,030.51","1,026.60","1,070.79","1,016.06","22.16M","-1.82%"
"Jan 14, 2022","1,049.61","1,019.88","1,052.00","1,013.38","24.31M","1.75%"
"Jan 13, 2022","1,031.56","1,109.06","1,115.60","1,026.54","32.06M","-6.75%"
"Jan 12, 2022","1,106.22","1,078.85","1,114.84","1,072.59","27.47M","3.93%"
"Jan 11, 2022","1,064.40","1,053.67","1,075.85","1,038.82","21.59M","0.59%"
"Jan 10, 2022","1,058.12","1,000.00","1,059.10","980.00","30.08M","3.03%"
"Jan 07, 2022","1,026.96","1,080.37","1,080.93","1,010.00","28.05M","-3.54%"
"Jan 06, 2022","1,064.70","1,077.00","1,088.00","1,020.50","29.78M","-2.15%"
"Jan 05, 2022","1,088.12","1,146.65","1,170.34","1,081.01","26.03M","-5.35%"
"Jan 04, 2022","1,149.59","1,189.55","1,208.00","1,123.05","33.10M","-4.18%"
"Jan 03, 2022","1,199.78","1,147.75","1,201.07","1,136.04","34.47M","13.53%"
"Dec 31, 2021","1,056.78","1,073.44","1,082.00","1,054.59","13.58M","-1.27%"
"Dec 30, 2021","1,070.34","1,061.33","1,095.55","1,053.15","15.37M","-1.46%"
"Dec 29, 2021","1,086.19","1,098.64","1,104.00","1,064.14","18.59M","-0.21%"
"Dec 28, 2021","1,088.47","1,109.49","1,119.00","1,078.42","19.94M","-0.50%"
"Dec 27, 2021","1,093.94","1,073.67","1,117.00","1,070.72","23.58M","2.52%"
"Dec 23, 2021","1,067.00","1,006.80","1,072.98","997.56","30.90M","5.76%"
"Dec 22, 2021","1,008.87","965.66","1,015.66","957.05","30.82M","7.49%"
"Dec 21, 2021","938.53","916.87","939.50","886.12","23.35M","4.29%"
"Dec 20, 2021","899.94","910.70","921.69","893.39","18.51M","-3.50%"
"Dec 17, 2021","932.57","914.77","960.66","909.04","33.63M","0.61%"
"Dec 16, 2021","926.92","994.50","994.98","921.85","27.24M","-5.03%"
"Dec 15, 2021","975.99","953.21","978.75","928.25","24.54M","1.82%"
"Dec 14, 2021","958.51","945.00","966.41","930.00","23.17M","-0.82%"
"Dec 13, 2021","966.41","1,001.09","1,005.00","951.42","25.34M","-4.98%"
"Dec 10, 2021","1,017.03","1,008.75","1,020.98","982.53","19.89M","1.32%"
"Dec 09, 2021","1,003.80","1,060.64","1,062.49","1,002.36","19.51M","-6.10%"
"Dec 08, 2021","1,068.96","1,052.71","1,072.38","1,033.00","13.81M","1.64%"
"Dec 07, 2021","1,051.75","1,044.20","1,057.67","1,026.81","18.46M","4.24%"
"Dec 06, 2021","1,009.01","1,001.51","1,021.64","950.50","27.01M","-0.59%"
"Dec 03, 2021","1,014.97","1,084.79","1,090.58","1,000.21","30.77M","-6.42%"
"Dec 02, 2021","1,084.60","1,099.06","1,113.00","1,056.65","24.21M","-0.95%"
"Dec 01, 2021","1,095.00","1,160.69","1,172.84","1,090.76","22.58M","-4.35%"
